scenario_name,plus_region_id,minus_region_id,voltage,kind_of_current,circuits,capacity,kind_of_laying,distance,grid_loss
status_quo_2012_distance,24000,25000,380,ac,,1000,land,255,0.00
status_quo_2012_distance,23000,24000,380,ac,,1200,land,454,0.00
status_quo_2012_distance,22000,23000,380,ac,,3200,land,441,0.00
status_quo_2012_distance,21000,22000,380,ac,,3400,land,471,0.00
status_quo_2012_distance,20000,21000,380,ac,,2400,land,197,0.00
status_quo_2012_distance,19000,20000,380,ac,,700,land,1417,0.00
status_quo_2012_distance,18000,19000,350,dc,1,500,sea,949,0.00
status_quo_2012_distance,18000,19000,250,dc,2,500,sea,949,0.00
status_quo_2012_distance,17000,19000,380,ac,4,3340,land,208,0.00
status_quo_2012_distance,17000,19000,220,ac,1,212,land,208,0.00
status_quo_2012_distance,17000,19000,110,ac,3,270,land,208,0.00
status_quo_2012_distance,17000,18000,380,ac,2,1015,sea,865,0.00
status_quo_2012_distance,17000,18000,285,dc,2,740,sea,865,0.00
status_quo_2012_distance,17000,18000,110,ac,2,335,sea,865,0.00
status_quo_2012_distance,16000,19000,220,ac,1,100,land,592,0.00
status_quo_2012_distance,16000,17000,500,dc,1,800,sea,507,0.00
status_quo_2012_distance,16000,17000,400,dc,1,550,sea,507,0.00
status_quo_2012_distance,16000,17000,380,ac,2,940,land,507,0.00
status_quo_2012_distance,16000,17000,220,ac,1,260,land,507,0.00
status_quo_2012_distance,16000,17000,110,ac,1,80,land,507,0.00
status_quo_2012_distance,15000,16000,150,dc,1,350,sea,651,0.00
status_quo_2012_distance,14000,15000,330,ac,2,750,land,211,0.00
status_quo_2012_distance,14000,15000,110,ac,2,300,land,211,0.00
status_quo_2012_distance,13000,14000,330,ac,4,1500,land,181,0.00
status_quo_2012_distance,13000,14000,110,ac,3,450,land,181,0.00
status_quo_2012_distance,12000,25000,380,ac,,1800,land,390,0.00
status_quo_2012_distance,12000,17000,450,dc,1,600,sea,1203,0.00
status_quo_2012_distance,11018,24000,220,ac,5,688,land,686,0.00
status_quo_2012_distance,11017,25000,380,ac,2,1240,land,621,0.00
status_quo_2012_distance,11017,11018,380,ac,3,0,land,119,0.00
status_quo_2012_distance,11017,11018,220,ac,3,0,land,119,0.00
status_quo_2012_distance,11016,11017,380,ac,2,0,land,427,0.00
status_quo_2012_distance,11016,11017,220,ac,1,0,land,427,0.00
status_quo_2012_distance,11015,11016,380,ac,2,0,land,156,0.00
status_quo_2012_distance,11015,11016,220,ac,1,0,land,156,0.00
status_quo_2012_distance,11014,20000,380,ac,2,1267,land,238,0.00
status_quo_2012_distance,11014,11015,380,ac,5,0,land,480,0.00
status_quo_2012_distance,11014,11015,220,ac,1,0,land,480,0.00
status_quo_2012_distance,11013,18000,380,ac,2,975,land,190,0.00
status_quo_2012_distance,11013,18000,220,ac,2,525,land,190,0.00
status_quo_2012_distance,11013,18000,110,ac,1,150,land,190,0.00
status_quo_2012_distance,11013,17000,450,dc,1,600,sea,1043,0.00
status_quo_2012_distance,11013,11014,380,ac,4,0,land,70,0.00
status_quo_2012_distance,11013,11014,220,ac,1,0,land,70,0.00
status_quo_2012_distance,11012,23000,380,ac,7,3500,land,761,0.00
status_quo_2012_distance,11012,22000,380,ac,4,1714,land,940,0.00
status_quo_2012_distance,11012,22000,220,ac,1,214,land,940,0.00
status_quo_2012_distance,11011,11017,380,ac,2,0,land,407,0.00
status_quo_2012_distance,11011,11012,380,ac,9,0,land,205,0.00
status_quo_2012_distance,11011,11012,220,ac,1,0,land,205,0.00
status_quo_2012_distance,11010,24000,380,ac,5,1375,land,164,0.00
status_quo_2012_distance,11010,24000,220,ac,1,137,land,164,0.00
status_quo_2012_distance,11010,11018,380,ac,2,0,land,525,0.00
status_quo_2012_distance,11010,11012,380,ac,4,0,land,600,0.00
status_quo_2012_distance,11009,22000,380,ac,2,857,land,721,0.00
status_quo_2012_distance,11009,22000,220,ac,1,214,land,721,0.00
status_quo_2012_distance,11009,21000,220,ac,4,980,land,458,0.00
status_quo_2012_distance,11009,11017,220,ac,1,0,land,394,0.00
status_quo_2012_distance,11009,11016,380,ac,2,0,land,247,0.00
status_quo_2012_distance,11009,11011,380,ac,7,0,land,545,0.00
status_quo_2012_distance,11009,11011,220,ac,2,0,land,545,0.00
status_quo_2012_distance,11008,11016,380,ac,2,0,land,301,0.00
status_quo_2012_distance,11008,11009,380,ac,5,0,land,191,0.00
status_quo_2012_distance,11008,11009,220,ac,3,0,land,191,0.00
status_quo_2012_distance,11007,11016,380,ac,4,0,land,276,0.00
status_quo_2012_distance,11007,11015,380,ac,4,0,land,169,0.00
status_quo_2012_distance,11007,11008,380,ac,2,0,land,169,0.00
status_quo_2012_distance,11007,11008,220,ac,1,0,land,169,0.00
status_quo_2012_distance,11006,20000,380,ac,4,2533,land,234,0.00
status_quo_2012_distance,11006,11008,380,ac,6,0,land,257,0.00
status_quo_2012_distance,11006,11007,380,ac,6,0,land,124,0.00
status_quo_2012_distance,11006,11007,220,ac,1,0,land,124,0.00
status_quo_2012_distance,11005,11015,220,ac,1,0,land,354,0.00
status_quo_2012_distance,11005,11014,380,ac,4,0,land,215,0.00
status_quo_2012_distance,11005,11007,380,ac,1,0,land,199,0.00
status_quo_2012_distance,11005,11007,220,ac,1,0,land,199,0.00
status_quo_2012_distance,11005,11006,380,ac,2,0,land,128,0.00
status_quo_2012_distance,11005,11006,220,ac,1,0,land,128,0.00
status_quo_2012_distance,11004,25000,380,ac,2,1240,land,486,0.00
status_quo_2012_distance,11004,12000,380,ac,2,2604,land,850,0.00
status_quo_2012_distance,11003,11017,380,ac,2,0,land,374,0.00
status_quo_2012_distance,11003,11016,380,ac,2,0,land,382,0.00
status_quo_2012_distance,11003,11004,380,ac,6,0,land,104,0.00
status_quo_2012_distance,11003,11004,220,ac,2,0,land,104,0.00
status_quo_2012_distance,11002,11014,380,ac,2,0,land,739,0.00
status_quo_2012_distance,11002,11013,380,ac,2,0,land,780,0.00
status_quo_2012_distance,11001,18000,400,dc,1,600,sea,401,0.00
status_quo_2012_distance,11001,12000,220,ac,2,804,land,464,0.00
status_quo_2012_distance,11001,11015,380,ac,2,0,land,234,0.00
status_quo_2012_distance,11001,11013,380,ac,2,0,land,421,0.00
status_quo_2012_distance,11001,11004,380,ac,4,0,land,583,0.00
status_quo_2012_distance,11001,11004,220,ac,2,0,land,583,0.00
status_quo_2012_distance,11001,11003,380,ac,2,0,land,488,0.00
status_quo_2012,24000,25000,380,ac,,1000,land,,0.03
status_quo_2012,23000,24000,380,ac,,1200,land,,0.03
status_quo_2012,22000,23000,380,ac,,3200,land,,0.03
status_quo_2012,21000,22000,380,ac,,3400,land,,0.03
status_quo_2012,20000,21000,380,ac,,2400,land,,0.03
status_quo_2012,19000,20000,380,ac,,700,land,,0.03
status_quo_2012,18000,19000,350,dc,1,500,sea,85,0.03
status_quo_2012,18000,19000,250,dc,2,500,sea,85,0.03
status_quo_2012,17000,19000,380,ac,4,3340,land,150,0.03
status_quo_2012,17000,19000,220,ac,1,212,land,150,0.03
status_quo_2012,17000,19000,110,ac,3,270,land,150,0.03
status_quo_2012,17000,18000,380,ac,2,1015,sea,5,0.03
status_quo_2012,17000,18000,285,dc,2,740,sea,60,0.03
status_quo_2012,17000,18000,110,ac,2,335,sea,5,0.03
status_quo_2012,16000,19000,220,ac,1,100,land,700,0.03
status_quo_2012,16000,17000,500,dc,1,800,sea,233,0.03
status_quo_2012,16000,17000,400,dc,1,550,sea,233,0.03
status_quo_2012,16000,17000,380,ac,2,940,land,550,0.03
status_quo_2012,16000,17000,220,ac,1,260,land,550,0.03
status_quo_2012,16000,17000,110,ac,1,80,land,550,0.03
status_quo_2012,15000,16000,150,dc,1,350,sea,105,0.03
status_quo_2012,14000,15000,330,ac,2,750,land,130,0.03
status_quo_2012,14000,15000,110,ac,2,300,land,130,0.03
status_quo_2012,13000,14000,330,ac,4,1500,land,125,0.03
status_quo_2012,13000,14000,110,ac,3,450,land,125,0.03
status_quo_2012,12000,25000,380,ac,,1800,land,,0.03
status_quo_2012,12000,17000,450,dc,1,600,sea,256,0.03
status_quo_2012,11018,24000,220,ac,5,688,land,,0.03
status_quo_2012,11017,25000,380,ac,2,1240,land,,0.03
status_quo_2012,11017,11018,380,ac,3,0,land,0,0.03
status_quo_2012,11017,11018,220,ac,3,0,land,0,0.03
status_quo_2012,11016,11017,380,ac,2,0,land,0,0.03
status_quo_2012,11016,11017,220,ac,1,0,land,0,0.03
status_quo_2012,11015,11016,380,ac,2,0,land,0,0.03
status_quo_2012,11015,11016,220,ac,1,0,land,0,0.03
status_quo_2012,11014,20000,380,ac,2,1267,land,,0.03
status_quo_2012,11014,11015,380,ac,5,0,land,0,0.03
status_quo_2012,11014,11015,220,ac,1,0,land,0,0.03
status_quo_2012,11013,18000,380,ac,2,975,land,350,0.03
status_quo_2012,11013,18000,220,ac,2,525,land,350,0.03
status_quo_2012,11013,18000,110,ac,1,150,land,350,0.03
status_quo_2012,11013,17000,450,dc,1,600,sea,270,0.03
status_quo_2012,11013,11014,380,ac,4,0,land,0,0.03
status_quo_2012,11013,11014,220,ac,1,0,land,0,0.03
status_quo_2012,11012,23000,380,ac,7,3500,land,,0.03
status_quo_2012,11012,22000,380,ac,4,1714,land,,0.03
status_quo_2012,11012,22000,220,ac,1,214,land,,0.03
status_quo_2012,11011,11017,380,ac,2,0,land,0,0.03
status_quo_2012,11011,11012,380,ac,9,0,land,0,0.03
status_quo_2012,11011,11012,220,ac,1,0,land,0,0.03
status_quo_2012,11010,24000,380,ac,5,1375,land,,0.03
status_quo_2012,11010,24000,220,ac,1,137,land,,0.03
status_quo_2012,11010,11018,380,ac,2,0,land,0,0.03
status_quo_2012,11010,11012,380,ac,4,0,land,0,0.03
status_quo_2012,11009,22000,380,ac,2,857,land,,0.03
status_quo_2012,11009,22000,220,ac,1,214,land,,0.03
status_quo_2012,11009,21000,220,ac,4,980,land,,0.03
